Virginia,/opt/fall16/,fall16_virginia.log,1,2,3
11/19/16 9:30,epoch_60.sc16,2412e6,60,60,55
11/19/16 9:33,epoch_59.sc16,2437e6,60,60,55
11/19/16 9:36,epoch_58.sc16,2462e6,60,60,55
11/19/16 9:39,epoch_57.sc16,2480e6,60,60,55
11/19/16 9:42,epoch_56.sc16,2412e6,60,60,55
11/19/16 9:45,epoch_55.sc16,2437e6,60,60,55
11/19/16 9:48,epoch_54.sc16,2462e6,60,60,55
11/19/16 9:51,epoch_53.sc16,2480e6,60,60,55
11/19/16 9:54,epoch_52.sc16,2412e6,60,60,55
11/19/16 9:57,epoch_51.sc16,2437e6,60,60,55
11/19/16 10:00,epoch_50.sc16,2462e6,60,60,55
11/19/16 10:03,epoch_49.sc16,2480e6,60,60,55
11/19/16 10:06,epoch_48.sc16,2412e6,60,60,55
11/19/16 10:09,epoch_47.sc16,2437e6,60,60,55
11/19/16 10:12,epoch_46.sc16,2462e6,60,60,55
11/19/16 10:15,epoch_45.sc16,2480e6,60,60,55
11/19/16 10:18,epoch_44.sc16,2412e6,60,60,55
11/19/16 10:21,epoch_43.sc16,2437e6,60,60,55
11/19/16 10:24,epoch_42.sc16,2462e6,60,60,55
11/19/16 10:27,epoch_41.sc16,2480e6,60,60,55
11/19/16 10:30,epoch_40.sc16,2412e6,60,60,55
11/19/16 10:33,epoch_39.sc16,2437e6,60,60,55
11/19/16 10:36,epoch_38.sc16,2462e6,60,60,55
11/19/16 10:39,epoch_37.sc16,2480e6,60,60,55
11/19/16 10:42,epoch_36.sc16,2412e6,60,60,55
11/19/16 10:45,epoch_35.sc16,2437e6,60,60,55
11/19/16 10:48,epoch_34.sc16,2462e6,60,60,55
11/19/16 10:51,epoch_33.sc16,2480e6,60,60,55
11/19/16 10:54,epoch_32.sc16,2412e6,60,60,55
11/19/16 10:57,epoch_31.sc16,2437e6,60,60,55
11/19/16 11:00,epoch_30.sc16,2462e6,60,60,55
11/19/16 11:03,epoch_29.sc16,2480e6,60,60,55
11/19/16 11:06,epoch_28.sc16,2412e6,60,60,55
11/19/16 11:09,epoch_27.sc16,2437e6,60,60,55
11/19/16 11:12,epoch_26.sc16,2462e6,60,60,55
11/19/16 11:15,epoch_25.sc16,2480e6,60,60,55
11/19/16 11:18,epoch_24.sc16,2412e6,60,60,55
11/19/16 11:21,epoch_23.sc16,2437e6,60,60,55
11/19/16 11:24,epoch_22.sc16,2462e6,60,60,55
11/19/16 11:27,epoch_21.sc16,2480e6,60,60,55
11/19/16 11:30,epoch_20.sc16,2412e6,60,60,55
11/19/16 11:33,epoch_19.sc16,2437e6,60,60,55
11/19/16 11:36,epoch_18.sc16,2462e6,60,60,55
11/19/16 11:39,epoch_17.sc16,2480e6,60,60,55
11/19/16 11:42,epoch_16.sc16,2412e6,60,60,55
11/19/16 11:45,epoch_15.sc16,2437e6,60,60,55
11/19/16 11:48,epoch_14.sc16,2462e6,60,60,55
11/19/16 11:51,epoch_13.sc16,2480e6,60,60,55
11/19/16 11:54,epoch_12.sc16,2412e6,60,60,55
11/19/16 11:57,epoch_11.sc16,2437e6,60,60,55
11/19/16 12:00,epoch_10.sc16,2462e6,60,60,55
11/19/16 12:03,epoch_9.sc16,2480e6,60,60,55
11/19/16 12:06,epoch_8.sc16,2412e6,60,60,55
11/19/16 12:09,epoch_7.sc16,2437e6,60,60,55
11/19/16 12:12,epoch_6.sc16,2462e6,60,60,55
11/19/16 12:15,epoch_5.sc16,2480e6,60,60,55
11/19/16 12:18,epoch_4.sc16,2412e6,60,60,55
11/19/16 12:21,epoch_3.sc16,2437e6,60,60,55
11/19/16 12:24,epoch_2.sc16,2462e6,60,60,55
11/19/16 12:27,epoch_1.sc16,2480e6,60,60,55
11/19/16 12:30,epoch0.sc16,2412e6,60,60,55
11/19/16 12:33,epoch1.sc16,2437e6,60,60,55
11/19/16 12:36,epoch2.sc16,2462e6,60,60,55
11/19/16 12:39,epoch3.sc16,2480e6,60,60,55
11/19/16 12:42,epoch4.sc16,2412e6,60,60,55
11/19/16 12:45,epoch5.sc16,2437e6,60,60,55
11/19/16 12:48,epoch6.sc16,2462e6,60,60,55
11/19/16 12:51,epoch7.sc16,2480e6,60,60,55
11/19/16 12:54,epoch8.sc16,2412e6,60,60,55
11/19/16 12:57,epoch9.sc16,2437e6,60,60,55
11/19/16 13:00,epoch10.sc16,2462e6,60,60,55
11/19/16 13:03,epoch11.sc16,2480e6,60,60,55
11/19/16 13:06,epoch12.sc16,2412e6,60,60,55
11/19/16 13:09,epoch13.sc16,2437e6,60,60,55
11/19/16 13:12,epoch14.sc16,2462e6,60,60,55
11/19/16 13:15,epoch15.sc16,2480e6,60,60,55
11/19/16 13:18,epoch16.sc16,2412e6,60,60,55
11/19/16 13:21,epoch17.sc16,2437e6,60,60,55
11/19/16 13:24,epoch18.sc16,2462e6,60,60,55
11/19/16 13:27,epoch19.sc16,2480e6,60,60,55
11/19/16 13:30,epoch20.sc16,2412e6,60,60,55
11/19/16 13:33,epoch21.sc16,2437e6,60,60,55
