Virginia,/opt/fall16/,fall16_virginia.log,1,2,3
11/19/2016 9:00,epoch_60.sc16,2412e6,60,60,55
11/19/2016 9:03,epoch_59.sc16,2437e6,60,60,55
11/19/2016 9:06,epoch_58.sc16,2462e6,60,60,55
11/19/2016 9:09,epoch_57.sc16,2480e6,60,60,55
11/19/2016 9:12,epoch_56.sc16,2412e6,60,60,55
11/19/2016 9:15,epoch_55.sc16,2437e6,60,60,55
11/19/2016 9:18,epoch_54.sc16,2462e6,60,60,55
11/19/2016 9:21,epoch_53.sc16,2480e6,60,60,55
11/19/2016 9:24,epoch_52.sc16,2412e6,60,60,55
11/19/2016 9:27,epoch_51.sc16,2437e6,60,60,55
11/19/2016 9:30,epoch_50.sc16,2462e6,60,60,55
11/19/2016 9:33,epoch_49.sc16,2480e6,60,60,55
11/19/2016 9:36,epoch_48.sc16,2412e6,60,60,55
11/19/2016 9:39,epoch_47.sc16,2437e6,60,60,55
11/19/2016 9:42,epoch_46.sc16,2462e6,60,60,55
11/19/2016 9:45,epoch_45.sc16,2480e6,60,60,55
11/19/2016 9:48,epoch_44.sc16,2412e6,60,60,55
11/19/2016 9:51,epoch_43.sc16,2437e6,60,60,55
11/19/2016 9:54,epoch_42.sc16,2462e6,60,60,55
11/19/2016 9:57,epoch_41.sc16,2480e6,60,60,55
11/19/2016 10:00,epoch_40.sc16,2412e6,60,60,55
11/19/2016 10:03,epoch_39.sc16,2437e6,60,60,55
11/19/2016 10:06,epoch_38.sc16,2462e6,60,60,55
11/19/2016 10:09,epoch_37.sc16,2480e6,60,60,55
11/19/2016 10:12,epoch_36.sc16,2412e6,60,60,55
11/19/2016 10:15,epoch_35.sc16,2437e6,60,60,55
11/19/2016 10:18,epoch_34.sc16,2462e6,60,60,55
11/19/2016 10:21,epoch_33.sc16,2480e6,60,60,55
11/19/2016 10:24,epoch_32.sc16,2412e6,60,60,55
11/19/2016 10:27,epoch_31.sc16,2437e6,60,60,55
11/19/2016 10:30,epoch_30.sc16,2462e6,60,60,55
11/19/2016 10:33,epoch_29.sc16,2480e6,60,60,55
11/19/2016 10:36,epoch_28.sc16,2412e6,60,60,55
11/19/2016 10:39,epoch_27.sc16,2437e6,60,60,55
11/19/2016 10:42,epoch_26.sc16,2462e6,60,60,55
11/19/2016 10:45,epoch_25.sc16,2480e6,60,60,55
11/19/2016 10:48,epoch_24.sc16,2412e6,60,60,55
11/19/2016 10:51,epoch_23.sc16,2437e6,60,60,55
